id,created_at,text
808042756375511040,2016-12-11 20:16:20,#OwnTheFuture https://t.co/4R0aWWVgCa
808038622268035073,2016-12-11 19:59:54,The best from Mirza as he lit it up last night! #OwnTheFuture https://t.co/fpaTMHAMn3
808028268364435456,2016-12-11 19:18:46,RT @NBA: Join us in wishing Malcolm Brogdon of the @Bucks a HAPPY 24th BIRTHDAY! #NBABDAY https://t.co/oamfM9c3YL
808014773094858752,2016-12-11 18:25:08,One had a triple double this week… #OwnTheFuture https://t.co/JHVqaGXPfO
808012232328179712,2016-12-11 18:15:02,RT @tmjgarcia: All the calls from @nbated and a great narrator... https://t.co/39U9SSqhIM
808012129609646081,2016-12-11 18:14:38,Two of them. We will announce the details tomorrow at 11am and 1pm. #OwnTheFuture https://t.co/9wTFVUnkCD
808011503387418624,2016-12-11 18:12:09,RT @AlexanderLasry: Making sure an ugly sweater party is well represented #fearthedeer https://t.co/NriRrXOiaE
808011409388929027,2016-12-11 18:11:46,"RT @BucksBango: DJ #BangoTheElf! 🎛🎧

Take a pic of your Bango doll with  #BangoTheElf for your chance to WIN a Limited Edition Holiday Bang…"
807991950213316608,2016-12-11 16:54:27,@kenoscubs @PicknSaveStores stay tuned!
807986462599811072,2016-12-11 16:32:39,Happy Birthday Malcolm!! #OwnTheFuture https://t.co/KPSXxR4hM5
807797471866822656,2016-12-11 04:01:40,The best from @Giannis_An34 tonight against the Wizards. #OwnTheFuture https://t.co/SS7trNhwsR
807794223680360449,2016-12-11 03:48:45,The best plays from tonight in DC. #OwnTheFuture https://t.co/QnF8AJaJVQ
807792674682114048,2016-12-11 03:42:36,"Despite a hot shooting night from Mirza and a near triple-double from Giannis the Bucks fall in DC. 

Game Rewind: https://t.co/pVgvcQyuXY"
807780830110044160,2016-12-11 02:55:32,RT @fswisconsin: #Bucks' Kidd on the last five minutes: 'It was just like last night' https://t.co/2QdOV7TnBM
807777663737876480,2016-12-11 02:42:57,Bounce back. #OwnTheFuture https://t.co/dxB6Awz5A0
807773901606572033,2016-12-11 02:28:00,Tonight's MegaBucks Leaders: https://t.co/hHpwX2CYUi
807773080261160960,2016-12-11 02:24:44,Mirza 💥 #OwnTheFuture https://t.co/tTGZzwzDGS
807769764940627970,2016-12-11 02:11:34,RT @nbated: #MILvWAS 101-100 Wizards 3:04 left in DC @620wtmj
807769722683060225,2016-12-11 02:11:24,"🌨❄️🍕🏈

We've hit 90 points so tomorrow you can order in @PapaJohns and save 50%!! Use the code: Bucks90

Details:… https://t.co/e04TeQMLMr"
807767172546117632,2016-12-11 02:01:16,Malcolm getting it done on the East Coast. #OwnTheFuture https://t.co/pQd5aZwxlr
807766424710066176,2016-12-11 01:58:17,"Mirza 🔥🔥

He's got 20 points on 7/11 FG thus far. #OwnTheFuture https://t.co/vDot6cxpom"
807764191029268481,2016-12-11 01:49:25,Giannis knocks down the 5th Bucks three-pointer of the 3rd qtr!! #OwnTheFuture https://t.co/bFSi11zDAs
807764175799939072,2016-12-11 01:49:21,RT @nbated: #MILvWAS After 3 in DC Bucks 77 Wizards 77 @620wtmj https://t.co/RE6BZdI77Z in SE WI
807764152945147904,2016-12-11 01:49:16,The Greek Freak is heating up and we're even after 3!! #OwnTheFuture https://t.co/eVLv3QVWxB
807759949660946432,2016-12-11 01:32:34,The Bucks open the third on a 10-2 run!! #OwnTheFuture https://t.co/7gpDGqbPDD
807759110104055808,2016-12-11 01:29:13,Giannis gyro-steps around Gortat for the bucket!! #OwnTheFuture https://t.co/Vm0f8XoCAf
807756106105810945,2016-12-11 01:17:17,@stormlover123 you can get it for free at that game if you get your tickets here: https://t.co/kLPEPcwTuN
