id,created_at,text
808032005879459841,2016-12-11 19:33:37,#DetroitBasketball https://t.co/mPDk1UF5ws
808031813083996160,2016-12-11 19:32:51,"@EricRousseau99 Yes, still on"
808004674699657216,2016-12-11 17:45:01,Marquee Matchup time - Dre and Okafor will be one to watch tonight. #DetroitBasketball https://t.co/Lal5Ti5EFf
807996162431209472,2016-12-11 17:11:11,"RT @PistonsHooper: It's @starwars day at @ThePalace! Come see your @DetroitPistons take on the 76ers, 6PM - I'll be the horse in the robes…"
807987813799133184,2016-12-11 16:38:01,"It's Star Wars Night at @ThePalace, so ... https://t.co/Dp3KYgfDBj"
807969445293465600,2016-12-11 15:25:01,You can also drop off the toys for @ToysForTots_USA at these participating @Halo_Burger locations:… https://t.co/C9KvlMi3Gi
807968687445725184,2016-12-11 15:22:01,"We're collecting toys for @ToysForTots_USA at the game tonight.

Drop off new, unwrapped toys at the entrances.… https://t.co/NqFnZ0Ls6F"
807959124088647680,2016-12-11 14:44:00,"It’s Game Day! Time to show your #DetroitStyle &amp; get your gear at @DunhamsSports.

Get 20% off with this coupon:… https://t.co/t8ektV8SFO"
807948554006315008,2016-12-11 14:02:00,"Lots happening today! Make sure to get here early because the first 5,000 kids will receive this Pistons Star Wars… https://t.co/uih7p0SbGM"
807948305032429568,2016-12-11 14:01:01,"It's Star Wars Night at @ThePalace!

Catch the #Pistons at 6 PM vs the 76ers. Watch on @FOXSportsDet Plus📺 &amp; listen… https://t.co/yx2RbpsKLy"
807786739750371328,2016-12-11 03:19:01,"RT @nbadleague: Stanley Johnson's night on assignment w/ @GRDLeague:

26 points
9/19 FG
3/8 3FG
5 rebounds
4 assists https://t.co/xWlylOMf8p"
807773172787478529,2016-12-11 02:25:06,RT @grdleague: FINAL: Drive fall 107-96 as @DetroitPistons assignees @iAmSJ (26pts) @HenryEllenson13 (19pts) and @mikegbinije (16pts) all l…
807766107666968576,2016-12-11 01:57:02,RT @Reggie_Jackson: Got something for the fans. Now you can go against me in one on one in this game #DetroitBasketball https://t.co/7yzfXe…
807756094651166720,2016-12-11 01:17:15,RT @grdleague: HALFTIME: Drive are up at the break! @DetroitPistons assignee Stanley Johnson on fire with 18pts 🔥🔥🔥 https://t.co/rVkS3exGhD
807744624685105152,2016-12-11 00:31:40,.@iAmSJ with 11 in the first for @grdleague and they lead by 8 after 1. Watch it in the @nbadleague Facebook page
807735137081458688,2016-12-10 23:53:58,"Tune in to watch Stanley, Henry and Michael in action https://t.co/jExud1tGWs"
807718791417315328,2016-12-10 22:49:01,Zaynah is our Fan of the Week! Check out this pic shared using the selfie section on our app presented by @budlight… https://t.co/Vbt1Idx2p1
807718752775208960,2016-12-10 22:48:52,RT @PistonsEnt: Can you guess the theme for tomorrow nights game?? #ThemeNight #DetroitBasketball #PistonsEntertainment #NBADancers #Detroi…
807694127492169728,2016-12-10 21:11:00,"Trending: Jon Leuer is having a great year and he's motivated to do even more, @Keith_Langlois writes:… https://t.co/hAapK3kj43"
807683594961424385,2016-12-10 20:29:09,"RT @Keith_Langlois: #Pistons send @iAmSJ, @HenryEllenson13 &amp; @mikegbinije to @grdleague for tonight's game. Expect them back tomorrow"
807678272305664000,2016-12-10 20:08:00,"Back home for one tomorrow.

#Pistons &amp; Sixers at 6 p.m. Sunday on @FOXSportsDet Plus and @1051thebounce.… https://t.co/KbKu1wnDrD"
807672511467028480,2016-12-10 19:45:07,The #Pistons announced today that the team has assigned forwards Stanley Johnson and Henry Ellenson and guard Michael Gbinije to @grdleague
807656945859592192,2016-12-10 18:43:16,RT @stockx: Come talk shop with us at the @DetroitPistons Sneaker Swap. We got stickers and discount codes to hand out. https://t.co/rLwjnT…
807651156772196353,2016-12-10 18:20:15,.@PistonsHooper spreading some holiday cheer and buying 🎄 for families as part of our #SeasonOfGiving presented by… https://t.co/JpUQCk6w2Q
807645306401779712,2016-12-10 17:57:01,You can also drop off the toys for @ToysForTots_USA at these participating @Halo_Burger locations:… https://t.co/35sIynT4Uo
807644550701477888,2016-12-10 17:54:00,"We're collecting toys for @ToysForTots_USA at tomorrow's game! Drop off new, unwrapped toys at the entrances.… https://t.co/X8vJczfPLT"
807631827116630016,2016-12-10 17:03:27,“His energy was great. He was dominant.” Stan Van Gundy on Dre's 2nd straight 20/20 game. See more in the breakdown… https://t.co/EKC3YvhVWK
807622273834303489,2016-12-10 16:25:29,Marcus was 💪 from the field and on the boards for our @Dodge Power Performance. #DetroitBasketball https://t.co/wkhSLPPAZy
807616803262316544,2016-12-10 16:03:45,@adriel_chareen Enjoy!
807572986572181504,2016-12-10 13:09:38,#DetroitMuscle 💪 https://t.co/xqzXU45dhy
807568550210785280,2016-12-10 12:52:00,Strong second half for the boys in last night's win. @Keith_Langlois has more in #Pistons Playback: https://t.co/xntW2Go91m
807435678724165632,2016-12-10 04:04:01,"We turned it on in the second half to top the Timberwolves.

#Pistons Playback has the highlights.… https://t.co/7wCogY9yAB"
807432532471975936,2016-12-10 03:51:31,"The offense was 💪 tonight, including from @AndreDrummond who has our Quote of the Night. #DetroitBasketball https://t.co/73WwffLnmz"
807428261064085504,2016-12-10 03:34:33,"STATS: 
Andre: 22/22
Jon: 17 pts, 5 rbs
Reggie: 16 pts, 4 asts
Tobias: 15 pts
Marcus: 15 pts, 7 rbs
KCP 10 pts, 7 a… https://t.co/UJC4fe2vsT"
807426647108579328,2016-12-10 03:28:08,"We like it. #DetroitBasketball 

Here's the #Pistons Playback Final. See you Sunday at @ThePalace https://t.co/9is8MYSXpV"
807426061571096576,2016-12-10 03:25:48,#Pistons WIN! #DetroitBasketball https://t.co/Efxvmrq56d
807424998688161792,2016-12-10 03:21:35,H3nry 3ll3nson! #PistonsNow https://t.co/Wt93XklwYy
807424012364218369,2016-12-10 03:17:40,.@HenryEllenson13 three! #DetroitBasketball https://t.co/mN3DybMY9I
807422750973378560,2016-12-10 03:12:39,"RT @Keith_Langlois: .@HenryEllenson13 going to get some run for the game's final 4:02, and OMG .. it's Boban time"
807421862653333504,2016-12-10 03:09:07,When you have back-to-back 20/20 games. #DetroitBasketball https://t.co/tFhVhliAnj
807420965470826496,2016-12-10 03:05:33,"5:50 to go.

#Pistons - 105, Minnesota - 78 https://t.co/i9TOX3H8LS"
807419698518360064,2016-12-10 03:00:31,24 point lead. https://t.co/etlwJCFjtU
807418389438332928,2016-12-10 02:55:19,RT @Keith_Langlois: #Pistons with 6 in double figures and Ish Smith with 8 with 10:19 to play. They're up 89-70. Only 4 turnovers.
807418077923119108,2016-12-10 02:54:05,https://t.co/AO036xjbHC
807417723957354496,2016-12-10 02:52:41,Nice passing lead to some Jon buckets as we build on our lead! #PistonsNow https://t.co/nFCEzlQfJp
807417024708222976,2016-12-10 02:49:54,A flurry of points to close the third and we're up 82-68 after 3 in Minnesota! #DetroitBasketball https://t.co/FgzKogtVxU
807416412419592192,2016-12-10 02:47:28,"RT @Keith_Langlois: An @ishsmith lob to @JonLeuer30 gives #Pistons biggest lead, 77-66, with 59 seconds left 3Q"
807415258184908802,2016-12-10 02:42:53,Ish Smith threeeee!
807413819505082373,2016-12-10 02:37:10,Tobias triple! Lead is back to 6
807410279491522572,2016-12-10 02:23:06,"Giving the ball to Dre = good idea right now.

He has 15 and 14 with 10:38 to play in the third."
807407142965743616,2016-12-10 02:10:38,"Your halftime entertainment - you playing the #Pistons one-on-one!

Here's how to do it: https://t.co/VwcRZKPtZC https://t.co/7THP9av8hj"
807406346513641472,2016-12-10 02:07:28,Big man with a big first half and we have the lead. #PistonsNow https://t.co/zfSU7wkFIu
807405639748100100,2016-12-10 02:04:40,Marcus heating things up here in the second! #PistonsNow https://t.co/PF7jDvN68K
807405531266686976,2016-12-10 02:04:14,Dre with a double-double in the first half https://t.co/owVhfF9fRW
807403756077907968,2016-12-10 01:57:10,Back in the lead thanks to this guy. https://t.co/vZYq4tMR5X
807400874058416128,2016-12-10 01:45:43,"#CountThatBabyAndAFoul.

#DetroitHustle there by @JonLeuer30"
807398408487047168,2016-12-10 01:35:55,"Got some stops and got the lead after one in Minnesota.

We're up 25-20 behind 9 points and 7 rebounds from… https://t.co/6j9cUI4M2w"
807397608763379716,2016-12-10 01:32:45,"KC3!

We're tied at 18 with 1:56 to play in the first."
807396758909231104,2016-12-10 01:29:22,"RT @JakeChapmanNBA: Drum on another level right now, 8/7 already, headed to the stripe for 2. #Pistons down 4 though with 2:43 to go 1Q"
807395317272506368,2016-12-10 01:23:38,"Dre is dunking all over the place.

8 points and 5 boards already. https://t.co/Lh49W15HMb"
807394444702076934,2016-12-10 01:20:10,With authority! #PistonsNow https://t.co/PeMTHfPaM8
807394056213041152,2016-12-10 01:18:38,RT @FOXSportsDet: Our tribute to Jamie Ryan Daniels tonight. Our thoughts are with Ken and his family &amp; friends during this difficult time.…
807392920663916544,2016-12-10 01:14:07,Dre JAM! https://t.co/wod0JxoM8U
807386226122747904,2016-12-10 00:47:31,"You can play those guys one-on-one in our new interactive video.

Give it a try @ https://t.co/VwcRZKPtZC"
807386086263627776,2016-12-10 00:46:58,"The @FanDuel Starting Five features @Reggie_Jackson, @CaldwellPope, @MookMorris2, @tobias31 and @AndreDrummond… https://t.co/rR12badjz5"
807374276533719040,2016-12-10 00:00:02,One hour away from tip in Minnesota. #DetroitBasketball https://t.co/sEtCtcGcPX
807357314613309441,2016-12-09 22:52:38,RT @FOXSportsDet: The Pistons are in Minnesota tonight to take on the Timberwolves. Tune-in at 7:30 for #Pistons Live on FSD! #DetroitBaske…
807353896179904512,2016-12-09 22:39:03,SVG talks about Reggie's return and what Jon Leuer brings to the team in the latest edition of Wired! 8 p.m. tip to… https://t.co/EauiYhsoSb
807349747870826498,2016-12-09 22:22:34,Ring in 2017 with @Globies at @ThePalace January 1! Get tickets at  https://t.co/rQIbpwnDHa
807349269506170881,2016-12-09 22:20:40,"RT @ThePalace: Just some Friday antics with Wun ""The Shot"" Versher of the @Globies and @PistonsHooper. https://t.co/xeYkXmLfZV"
807342563137122304,2016-12-09 21:54:01,"Austin Holsinger and the team at @greatlakesproud is #DetroitProud. 

#DetroitBasketball https://t.co/2IEyeSJ65v"
807335775348015105,2016-12-09 21:27:03,Another busy week for the squad as Reggie returns and we unveil our new interactive video (https://t.co/VwcRZL74Ra)… https://t.co/i3XF7lJ79v
807322177812852736,2016-12-09 20:33:01,"""Dre, you're not better than me in the one-on-one video!"" - Reggie, probably.

Give it a try:… https://t.co/xzdDPdkS12"
807314391318163456,2016-12-09 20:02:04,#Pistons fans show some #DetroitStyle with @TheDancingUsher on the latest @StateFarm Dance Cam! 😎 https://t.co/d0N9dafgc1
807308839859220480,2016-12-09 19:40:01,"Star Wars Night Sunday! Meet characters on the concourse &amp; first 5,000 kids get a special Star Wars &amp; Pistons poste… https://t.co/iZI2h6tsoq"
807271775063212032,2016-12-09 17:12:44,"You remember Reggie's no-look, over the head pass to Dre, right?

It's our Assist of the Week presented by… https://t.co/0cmEfFpcE6"
