id,created_at,text
808016004450091008,2016-12-11 18:30:02,Our 110-105 #WizBucks win last night means you get 50% off your order today with @PapaJohns_DMV! Promo code: WIZ50… https://t.co/RgX5ulsIas
808009018459439104,2016-12-11 18:02:16,"All eyes on the #WallStar. 

#WizBucks 📸 of the Game pres. by @hofmannsausage https://t.co/qI7OAU489M"
807998453292920833,2016-12-11 17:20:17,"Don't forget to send in submissions of your best handshakes for a chance to perform it with @KELLYOUBREJR!   

Use… https://t.co/Rag2JkIT7B"
807985802995204097,2016-12-11 16:30:01,"ICYMI: The Wizards closed out the Bucks last night 110-105 👍

#WizBucks Recap: https://t.co/UGOgMAsQcm https://t.co/sYkXVVjIwK"
807982495064997895,2016-12-11 16:16:53,".@KELLYOUBREJR scored a career-high 19p last night! Let's take a look at how he got there... 

#WizBucks https://t.co/U4thKM8ZTS"
807955621622386688,2016-12-11 14:30:05,"Good morning, #DCFamily! Check out highlights from our second straight win last night... 👀

#WizBucks https://t.co/j3IFyfIVGK"
807808488567173120,2016-12-11 04:45:26,"Wizards close out Bucks for 110-105 win ⤵️

#WizBucks Notes📝: https://t.co/UGOgMAsQcm https://t.co/1P0CHZtGSJ"
807806886338662400,2016-12-11 04:39:04,"Postgame locker room reaction from John, Brad, and Kelly after tonight's win over the Bucks 

#WizBucks https://t.co/8G70dWSud7"
807801758470774784,2016-12-11 04:18:42,Congrats to @KELLYOUBREJR on his career-high 19 points! #WizBucks #DCFamily https://t.co/WbxuhENXJ0
807783242720047105,2016-12-11 03:05:07,"The #DCFamily has spoken, and @JohnWall is your #WizBucks player of the game! https://t.co/1dAdkko8K5"
807779293673582592,2016-12-11 02:49:26,"When @KELLYOUBREJR gets to a career-high 19p like THIS... 👀

#WizBucks https://t.co/fGzW8MVsG2"
807776499860443136,2016-12-11 02:38:19,Who was your #WizBucks Player of the Game tonight?? #DCFamily
807775565201678336,2016-12-11 02:34:37,#WizBucks https://t.co/LdC9jMR4dW
807774520681570304,2016-12-11 02:30:28,"Do or do not. There is no try. 

Wall 24p-11a
Beal 20p-6a
Oubre 19p-9r

#WizBucks https://t.co/kJhuj5dtSX"
807773742038392832,2016-12-11 02:27:22,"Back to back home wins!  👍 

#WizBucks https://t.co/kAryjt2vGv"
807770086010257408,2016-12-11 02:12:50,"The force is strong with this one. LET'S GO. 

#WizBucks https://t.co/KKvTVLXrqi"
