id,created_at,text
807973917302333444,2016-12-11 15:42:47,Happy #SundayFunday 🙌🏽 Use promo code HORNETS95 to get 50% off @PapaJohnsNC ALL DAY today! #BuzzCity https://t.co/PzngQ3xZyM
807956175358599168,2016-12-11 14:32:17,Kemba with the crafty move to get the bucket after speeding around two Cavs players 🔥 @KumhoTireUSA… https://t.co/5bTROHesqA
807933204015542272,2016-12-11 13:01:01,"#CHAatCLE GAME RECAP: Charlotte’s Comeback Falls Short in Cleveland 

https://t.co/VX7VbwtU0K

#BuzzCity https://t.co/11eRA1jCBh"
807811399548186624,2016-12-11 04:57:00,"""Playing against the great teams starts with competing against them and we didn’t compete early.”… https://t.co/w4rSg4c0JG"
807805872894263296,2016-12-11 04:35:03,"“Our [2nd half] intensity, energy,  mentality just was a lot better. We should’ve been like that from the jump.”… https://t.co/nNP9uADiIU"
807805161821401088,2016-12-11 04:32:13,"WATCH: Marvin Williams on tonight’s #CHAatCLE matchup &amp; continuing the 5-game road trip.

https://t.co/QLRIUEX1jU… https://t.co/MQj1f8HfCr"
807785221747720192,2016-12-11 03:12:59,Your @RockwellTools #Drilling3s total for the game #CHAatCLE #buzzcity https://t.co/E3uvYGkKTM
807783559419269120,2016-12-11 03:06:23,RT @HornetsPR: The @hornets Walker suffered a left knee contusion. Will be listed as day-to-day.
807782491344031744,2016-12-11 03:02:08,Tough one tonight. Our Hornets points leader in tonight’s game @KembaWalker our @Sprite Player of the Game.… https://t.co/0qElkYZLM1
807779045689671681,2016-12-11 02:48:26,RT @HornetsPR: The @hornets Kemba Walker headed back to the locker room. Will provide an update once available. #BuzzCity
807778381366431744,2016-12-11 02:45:48,Kemba walking off the court on his own and heading to the bench - look to @HornetsPR for the official word on status. #CHAatCLE #BuzzCity
807775866558169088,2016-12-11 02:35:48,Reverse layup and the foul for @jlamb!! 👍 #CHAatCLE #BuzzCity https://t.co/eRqLZe9reU
